Problem,Local Search Type,Result
R201,2LS,598.7529728
R201,2LS,593.5527849
R201,2LS,589.6129233
R201,2LS,594.4699586
R201,2LS,597.4237051
R201,2LS,593.5429406
R201,2LS,592.767551
R201,2LS,599.3363674
R201,2LS,584.146689
R201,20p10LS,616.2749296
R201,20p10LS,590.4778372
R201,20p10LS,564.7513893
R201,20p10LS,595.1377067
R201,20p10LS,599.1028209
R201,20p10LS,601.1519269
R201,20p10LS,605.4393961
R201,20p10LS,603.798675
R201,20p10LS,585.2344468
R201,20p10LS,611.042529
R201,20p10LS,609.0205797
R201,20p10LS,586.3973011
R201,20p10LS,604.864662
R201,20p10LS,600.1308174
R201,20p10LS,588.9969357
R201,20p10LS,600.693984
R201,20p10LS,608.0127305
R201,20p10LS,599.8889856
R201,20p10LS,609.8595966
R201,20p10LS,606.1107711
R201,20p10LS,600.3420603
R201,20p10LS,583.9490492
R201,20p10LS,605.4308609
R201,20p10LS,587.3856695
R201,20p10LS,599.3350472
R201,20p10LS,586.1594321
R201,20p10LS,587.3244555
R201,20p10LS,606.9537155
R201,20p10LS,604.436513
R201,20p10LS,604.2313266
R201,20p10LS,608.5094618
R201,20p10LS,600.2525786
R201,20p10LS,604.2244367
R201,20p10LS,608.6846844
R201,20p10LS,588.7518107
R201,20p10LS,597.9727237
R201,20p10LS,601.1374402
R201,20p10LS,596.9359562
R201,20p10LS,595.7559032
R201,20p10LS,592.3098697
R201,20p10LS,597.0951832
RC101,10LS,518.4993134
RC101,10LS,518.4993134
RC101,10LS,518.4993134
RC101,10LS,518.4993134
RC101,10LS,518.4993134
RC101,10LS,518.4993134
RC101,10LS,518.4993134
RC101,10LS,518.4993134
RC101,10LS,518.4993134
RC101,10LS,518.4993134
RC101,0LS,519.2964431
RC101,0LS,518.4993134
RC101,0LS,519.9392094
RC101,0LS,518.4993134
RC101,0LS,518.4993134
RC101,0LS,518.4993134
RC101,0LS,518.4993134
RC101,0LS,519.9392094
RC101,0LS,519.1420797
RC101,0LS,518.4993134
RC101,0LS,518.4993134
RC101,0LS,519.9392094
RC101,0LS,519.1420797
RC101,0LS,519.161961
RC101,0LS,518.4993134
RC101,0LS,518.4993134
RC101,0LS,519.1420797
RC101,0LS,519.1420797
RC101,0LS,519.1420797
RC101,2LS,518.4993134
RC101,2LS,519.2964431
RC101,2LS,518.4993134
RC101,2LS,519.1420797
RC101,2LS,518.4993134
RC101,2LS,519.1420797
RC101,2LS,519.1420797
RC101,2LS,519.1420797
RC101,2LS,518.4993134
RC101,2LS,518.4993134
RC101,20p10LS,519.1420797
RC101,20p10LS,519.1420797
RC101,20p10LS,519.1420797
RC101,20p10LS,519.9392094
RC101,20p10LS,519.1420797
RC101,20p10LS,519.1420797
RC101,20p10LS,518.4993134
RC101,20p10LS,519.2964431
RC101,20p10LS,519.1420797
RC101,20p10LS,518.4993134
RC101,20p10LS,518.4993134
RC101,20p10LS,519.1420797
RC101,20p10LS,518.4993134
RC101,20p10LS,518.4993134
RC101,20p10LS,519.1420797
RC101,20p10LS,518.4993134
RC101,20p10LS,518.4993134
RC101,20p10LS,519.1420797
RC101,20p10LS,519.2964431
RC101,20p10LS,519.1420797
RC101,20p10LS,519.1420797
RC101,20p10LS,519.1420797
RC101,20p10LS,519.1420797
RC101,20p10LS,518.4993134
RC101,20p10LS,518.4993134
RC101,20p10LS,519.1420797
RC101,20p10LS,519.1420797
RC101,20p10LS,519.1420797
RC101,20p10LS,519.9392094
RC101,20p10LS,518.4993134
RC101,20p10LS,519.2964431
RC101,20p10LS,519.1420797
RC201,10LS,518.4993134
RC201,10LS,518.4993134
RC201,10LS,518.4993134
RC201,10LS,518.4993134
RC201,10LS,518.4993134
RC201,10LS,518.4993134
RC201,10LS,518.4993134
RC201,10LS,518.4993134
RC201,10LS,518.4993134
RC201,10LS,518.4993134
RC201,0LS,519.1420797
RC201,0LS,518.4993134
RC201,0LS,519.1420797
RC201,0LS,518.4993134
RC201,0LS,519.1420797
RC201,0LS,518.4993134
RC201,0LS,519.2964431
RC201,0LS,519.2964431
RC201,0LS,518.4993134
RC201,0LS,518.4993134
RC201,2LS,518.4993134
RC201,2LS,518.4993134
RC201,2LS,518.4993134
RC201,2LS,519.1420797
RC201,2LS,518.4993134
RC201,2LS,519.9392094
RC201,2LS,518.4993134
RC201,2LS,518.4993134
RC201,2LS,518.4993134
RC201,2LS,518.4993134
RC201,20p10LS,519.161961
RC201,20p10LS,519.1420797
RC201,20p10LS,519.9392094
RC201,20p10LS,520.162406
RC201,20p10LS,519.1420797
RC201,20p10LS,518.4993134
RC201,20p10LS,519.9096651
RC201,20p10LS,519.1420797
RC201,20p10LS,518.4993134
RC201,20p10LS,519.2964431
RC201,20p10LS,519.1420797
RC201,20p10LS,519.2964431
RC201,20p10LS,518.4993134
RC201,20p10LS,518.4993134
RC201,20p10LS,519.2964431
RC201,20p10LS,519.1420797
RC201,20p10LS,518.4993134
RC201,20p10LS,520.9786989
RC201,20p10LS,518.4993134
RC201,20p10LS,518.4993134
RC201,20p10LS,519.2964431
RC201,20p10LS,519.1420797
RC201,20p10LS,519.1420797
RC201,20p10LS,519.1420797
RC201,20p10LS,519.161961
RC201,20p10LS,519.1420797
RC201,20p10LS,518.4993134
RC201,20p10LS,519.1420797
RC201,20p10LS,519.1420797
RC201,20p10LS,518.4993134
RC201,20p10LS,519.1420797
RC201,20p10LS,519.8047273
RC201,20p10LS,518.4993134
RC201,20p10LS,518.4993134
RC201,20p10LS,519.9392094
RC201,20p10LS,518.4993134
RC201,20p10LS,518.4993134
RC201,20p10LS,518.4993134
RC201,20p10LS,519.1420797
RC201,20p10LS,519.1420797
RC201,20p10LS,518.4993134
